title,artist,lyrics,genre
gimme 30,pato fu,la vita e molto lunga per essere vissuta del tutto e troppo grande eccessivamente larga per la vita e molto lunga per essere vissuta del tutto e troppo grande eccessivamente larga per e eu que vivo so pra ela so pra soprar ela que pra mim esta ok que pra mim esta legal e se meu samba morrer ainda sobra sem querer um ano e meio de carnaval gimme 30 ok gimme 30 allright la verita e che io sono povero poverino io sono e quello che ho non bastera affato ,rock
little heartwrecker,dierks bentley,cry cry cry like rain ocean full tears drown pain take whiskey pour drain aint nothin gonna make feel better oooh little heartwrecker oooh little heartwrecker beg beg beg like dog chase round world shell still gone right once left wrong chewin dear john letter oooh little heartwrecker takes big black ball long strong chain lets fall little heartwrecker sing sing sing sad song honky tonk jukebox playin along last buddy moneys gone still cant remember pray pray pray like saint promise maker kinds things answer know hed say son better forget oooh little heartwrecker takes big black ball long strong chain lets fall little heartwrecker sweet sweet sweeter wine never knew nothin could fine took laid line best ever better oooh little heartwrecker oooh little heartwrecker oooh little heartwrecker ,country
she says she knows,nick heyward,says knowsim telling friends knowim telling friends careyou believed yourselfyou belong nobody elseyou believethey someone elsenow knowyou always believe inwhat saysshe says knowsthat always believe inwhat saysshe said knowsim tellin friends knewim tellin friends could kill youthey believe themselvesdont wanna knowthey surpriseddont wanna hearhow sympathisednow knowyou always believe inwhat saysshe said knowsyou always believe inwhat saysshe said knowsshe cares knowsnow knows careswouldnt like knowits lovely hear saynow knowyou always believe inwhat saysshe says knowsyou always believe inwhat saysshe said knowsshe said knowsshe said knowsnow says knowsshe cares ,rock
love gun,hayseed dixie,really love baby love got lets get together get hot tomorrow baby time today girl make feel okay place hidin baby place run pull trigger love gun love gun love gun love gun cant forget baby try lie never leave me mama try ill gambler baby lay bet get together mama sweat place hidin baby place run pull trigger love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun love gun ,country
baltimore ,the tamlins,beatup little seagull marble stair tryin find ocean lookin everywhere hard times city hard town sea aint nowhere run aint nothin free hooker corner waitin train drunk lyin sidewalk sleepin rain hide faces hide eyes cause citys dyin know oh baltimore man hard live oh baltimore man hard live live get sister sandy little brother ray buy big old wagon gonna haul us away livin country mountains high never comin back til day die oh baltimore man hard live oh baltimore man hard live live beatup little seagull tryin find ocean baltimore oh baltimore oh live baltimore oh baltimore live ,reggae
living underground,atomic rooster,heat sun live people living underground shade fence lovers night making sounds well heres message going round theres sound theres sound system theres law want truth secrets living underground must ways one help help carry on lies message there one ever one everever really cares well heres message going round theres sound theres sound system theres law want truth secrets living underground living underground secrets underground living underground secrets underground help help help help living underground ,rock
i aint lost if im with you,e for explosion,find dreams thumbing stitches seams patchwork skin quilted smile breathe recycled air sleep borrowed time foot prints heaven bound snow ice shattered sound hide smile wear dreaming eyes tangles hair ill still cause aint lost im ,rock
scam,jamiroquai,say fight give us freedom often abused faces tired generation decided sick used purpose current declarations still same itll never change end buy appreciation nation cover mistakes must defend say therell chance evryone proptest calculated greed see future long welfare send letters telling much need interest please interest rate fall mine see brand new generation demanding money time scam people try living life speed light scam know things scam give ten thats move give five scam people say way stay alive see schemer wanna love life live matter much earn cos always get fingers burned man gets business ive searching reason give want get ahead see lose car job wife dog home debts threats telephone maybe bust move instead know watch television confused puppet conviction glued screen thousand shallow words widsom aint seems single sided system someones got hold living im gonna things thats fair got justify giving lie steal care cos ive got scam ,rnb
sourire,les nubians,raveillae par le technobeat du voisin jpeux rien faire jfrappes pour le faire taire mais il sen fout pas moyen de rester dans cet appart de fous sortir laisser linspiration venir les pavas de la ville guident vers un chemin incertain dhumeur fabrile dans le dacor urbain et le sourire dune petite fille illumine mon quotidien ce sourire est un signe que tout nest pas chagrin une fleur de baton minspire une petite fille un sourire ce refrain qui la fait rire quand la ville chavire une fleur minspire ,world
theyll never take the good years,william fitzsimmons,let faith heart let let love grow deep think ill around curse bones breath fly ghosts miss like friend theyll never take good years never pass no theyll never take good years god wish wouldve learned afraid move meant bear child look gone itll hurt theyll never take good years never burn no theyll never take good years god wish wouldve learned ,folk
careful in career,simple minds,careful career take care take care shame go away shame go away shame die already looking looking pouring x years life pouring ecstasy performance ecstasy im looking looking ive come far already ive come far already far ive come far careful career take care take care see lodgers walking hands eyes see yawning shambling drugged heat looking looking pouring x years life pouring ecstasy performance ecstasy im looking looking ive come far already ive come far already shame looking looking ecstasy ive come far already ecstasy ive come far already ecstasy ive come far already ive come far ive come far shame shame looking looking ,rock
drink in my cup,electrik red,radio killa killa know ah know ah yeah know radio killa killa know ah know ah yeah know step fresher mother yes indeed im flyer mother two tone phantom hop hello canary yellow get baby like wanna right right right right im get like wanna right girls got drink cup im fly im fly im flyin high im fly im fly im flyin got drink cup im fly im fly im flyin high im fly im fly im flyin im back floor yep cute mother making pop pop pop im mother ichi ni san shi got like ding dong im like wanna get right cause get like wanna get right girls got drink cup im fly im fly im flyin high im fly im fly im flyin got drink cup im fly im fly im flyin high im fly im fly im flyin cup sip yep yurp two step stop yurp know im floor drop that pop dip low ride like some glide like motor boat park like turn scooot get look back girls got drink cup im fly im fly im fly high im fly im fly im fly got drink cup im fly im fly im fly high im fly im fly im fly cup sip yep yurp two step stop yurp ,rap
dont stop the music,rihanna,please stop music please stop music please stop music please stop music getting late im making way favourite place gotta get body moving shake stress away looking nobody looked way possible candidate yeah knew looking like making staying here impossible baby must say aura incredible go know started came party were rocking dance floor actin naughty hands around waist let music play were hand hand chest chest were face face wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop please stop music baby ready cause getting close feel passion ready explode goes us noone know private show know started came party were rocking dance floor actin naughty hands around waist let music play were hand hand chest chest were face face wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop please stop music please stop music please stop music please stop music please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop music wanna take away lets escape music dj let play cant refuse like way keep rockin please stop the please stop please stop music please stop music please stop music please stop music ,pop
my baby walked off,howlin wolf,well baby walked off musta layed died well baby walked off musta layed died lord wish here layin side well im doggone worried cant satisfied well im doggone worried cant satisfied well woman walked me boy musta walked died im gonna call highway man tell him baby musta died im gonna call highway man tell him baby done walked died please find baby cause im satisfied well walked off know kind well walked off know kind lord im crazy bout woman done walked died ,blues
get big,okkervil river,get end song wil begin again said bed watching light ship blinds find skin take medicine ask been live lost weekend know wanted it get big little kid cant say day quite fit space saved it space demands throw hands call quits take midnight trip know dreamed it walk sunset strip think needed get big little kid remember love got good younger days thatd like outstrip drink cup dregs leave club shaking legs another guy remember: im him take medicine ask been live lost weekend know wanted get big little kid get end song another begin ,rock
deux,keren ann,se regarde devenir vieux mais prefere les yeux baisses ca parait simple quand est deux mais quand le mal est deja fait laisse passer quelques annees puis un ete nos cheveux sont blancs du mal a respirer hier etait il bien longtemps le mal est deja oublie mais sest jamais oublie ,folk
spiritual damnation,lord belial,step false reality timeless dominion enter realms unknown seek majestic splendour born screaming crying rage born scream reborn make ones hate cry pass gates life feel immense pain die walk painfilled path death onward pits hell bizarre twisted bodies without life instruments wicked deeds faceless yet image suffering dead thou command ,rock
niggas & bitches,ja rule, yeah ha uh huh know uh uh yo nigga cad whats hangin nigga nigga terry whats goin nigga let talk em minute yeah haha niggas grip iron keep cocked bitches work clit keep pussy hot cause benjamins nobody aint doin like us cmon yall want niggas grip iron keep cocked bitches work clit keep pussy hot cause sex money murder bitches burn ya niggas burners cocked let go fuck yall motherfuckin bitch ass niggas im talkin whoever wanna ridin dick know gon get hot spit rule nobody wanna bothered hit em every direction four fifths expend like 45s compact discs disappointment see niggas flip rule like double jointed im one raps anointed else used order dick like come spinners six got bitches bouncin like ronnie tricks whores game really make sense bomb roof via cals clonin ems bullets go film break limbs horror show yeah picture cause guess cant see it murder rule fuck bitches manolos thick louie vuitton logos cause love hoes im beyond everything seein im real nigga left rappin freakin could one seasons call summer way bang heater back hummer bull move like runners city block city block layin foundation whats really hot yall niggas really level im like slugs pierce metal see sparks voice brush hear like art nobody really tell twins apart call one nina one santa maria might roll set dump lean ya bitch cocked bang men virginia make run ya put ya yeah yeah yo murders outlaw guess get citys broads push porsche high truck court holla judge judge made bad decision feel like nigga triggerin guns mittens hard get done im hearin security runs around 30k get hit ak found securitys runnin another way like me murder probably could drop manslaughter get bail flee cause downess says bitch up let handle pick snow cone country leave market untouched call drugs pushin us rafters cause need it cause want definition greed cause want yall niggas teasin yall really want war really do gonna need lot 2x faggots haha yeah shout nigga 01 baby know mean nigga black child big caddillac motherfuckin partner brother gotti know gonna niggas aint got pick mic either nigga got this got niggas gotti holla back nigga yeah uh yo nigga burns building blow somethin nigga ,rap
spirit,dionysus, go on find way first time know weve hard times worries end always find way go follow understand use strong sure suddenly heaven comes falling dark clouds surrounding us light seems far away still believe late lose spirit without were standing small keep spirit time life take chances throw away know worries know agony im also hurt time time guess need believe beat odds like many times follow understand throw away weve achieved way use imagination could really leave all slip fall sometimes inspiration again know chose easy way somehow weve managed overcome impossibilities got far slip fall sometimes inspiration lose spirit without were standing small keep spirit time life without were standing small keep spirit time life take chances throw away ,rock
i need you,america,used laugh used cry used bow heads then wonder gone guess ill carry make best left left me left need like flower needs rain know need you guess ill start know need like winter needs spring know need you need every day id laugh hours away knowing thinking came put blame every story told me need like flower needs rain know need you guess ill start know need you need need like winter needs spring know need you guess ill start know need you need need like flower needs rain know need you guess ill start know need you need need like winter needs spring know need you guess ill start know need you need ,rock
mama kin,guns n roses,aint easy livin like gypsy tell ya honey feels ive dreamin floatin stream losin touch thats real whole lotta lover keepin undercover never knowin beenoo yeah fadin always paradin keep touch mama kin always got tail wag spittin fire mouth like dragon act like perpetual drag better check cause someday soon climb back wagon aint easy livin like wanna hard find piece mind yes way see got say sheeit forget drop line bald egg eighteen workin daddys drag still stuff mouth beans better check someday soon climb back wagon keep touch mama kin tell gone livin fantasy sleepin late smokin tea keep touch mama kin tell gone livin fantasy sleepin late suckin me oh aint easy livin like wanna hard find piece mind yes way see got say sheeit forget drop line bald egg eighteen workin daddys drag still stuff mouth beans better check someday soon climb back wagon keep touch mama kin tell gone livin fantasy sleepin late smokin tea keep touch mama kin tell gone livin fantasy sleepin late suckin ohh ow ow ow yeah ow ,rock
blue bedroom,toby keith,woke morning day old coffee smoked left cigarette sit phone case call aint ringing yet probably half way albuquerque hang north santa fe never know much hurt watch walk away blue bedroom ive got sad lonely view melancholy moon pillow smells like perfume missing blue bedroom never told leaving guess find love needing waiting blue bedroom ive got sad lonely view melancholy moon pillow smells like perfume missing blue bedroom left red dress purple shoes silver comb never used yellow ribbon hair baby still everywhere blue bedroom blue bedroom ive got sad lonely view melancholy moon pillow smells like perfume missing im needing baby want blue bedroom ,country
jigsaw you,deus,fifty six falcon across old laundry tasted jigsaw you hate see wasted im thinkin parallel lines cut takes finding some way weld way weld ,rock
cancun,natas, feel like foreign land feel like taking somewhere type foreign land got get away e know im saying know lifes hard supposed cold life thing really know hold mics cold nights hottest blocks projects bless mic natas heat got streets warm well stop setting shit fire beat gone keep strong money keep long song history born da wrong cats collapse beef never cry pain game treat us wrong wicket world wide seas clock gees clock zees sleeping huh shake day seniorita mama la pita shake day seniorita mama la pita cool beach cancun moon honey sipping boones finna go room zoomed feature times rhyme clarity no said good land prosperity fly sky blink eye shade sombrero think mama see seniorita smoking reefer hoping keep im nothin creaper gets deeper street sweeper day like today sit back parlay can cun girl aint bumping bump best friend cancun yo cancun yo said cancun yo yo cancun mamacita seniorita black thang baby know weaker living viva la coca slang yoca cola hot like cancun clock bank like tommy mottola snake im call boa constrictor till get pictcha squig liquor drop bigger figures aint stopping yo seniorita tropico cop drop flow cop 4 44 undercover love go detroit chicago wherever go keep blow tighter hair hoe cherry moon cancun im boom honeys know im hit boom boom cancun boom ,rap
around the world in a tea daze,shpongle, take huge universe put inside tiny head: fold it hara hara mahadeva shambho kashi vishwanatha gange ex maria pie jesu ex maria virgine qui tolis pie domine domine pie ,electronic
my girlfriend insanity,helalyn flowers,she forgiving lies perceiving senses knows truth she kissing eyes clinical embrace truth deeper night enters bed inside like chilly scar opening cause humanize dreams exciting thats let know one second unforgiving touch like blade writhing flower undressing meaning im discovering taste love girlfriend insanity deeper night enters bed inside like chilly scar opening cause humanize dreams exciting thats let know one second unforgiving touch like blade writhing flower undressing meaning im discovering taste love girlfriend insanity like scar like blade slide me kill pain like scar like blade slide me kill pain like scar like blade slide me kill pain like scar like blade slide me kill pain ,electronic
cicada,silverchair,little boy one favourite toy thing mind never left anything behind no got older things got worse like hed born curse things started fall apart like start no like civil war growing up like civil war turn away something cant ignore growing up like civil war teens hed started learn life means problems still appearing look like disappearing ,rock
the end of the line,metallica,need tainted misery bleed battle scars chemical affinity reign legacy innocence corrode stain rot away catatonic overload choke asphyxia snuff reality scorch kill light incinerate celebrity reaper butchery karma amputee bloodline breeding fine death contagious deity hooked deceiver need endless fever need new consequence machine burn gasoline asylum overtime never mind reach end line time choke clock steal another day die faithfully narcissistic fade away twisted jump rail shout crowd breaker chase ghost latest high time low hooked deceiver need endless fever need new consequence machine burn gasoline asylum overtime never mind reach end line drop hourglass time spinning sand find gather today bid farewell slave becomes master slave becomes master slave becomes master slave becomes master need right ever need new consequence machine burn gasoline asylum overtime never mind dead hourglass time sand ever find gather today say goodbye cause reached end line end line end line end line reached end line ,metal
la river ,rancid,1951 small town kids got nothing dream night movie stars cadillac cars beautiful girls big city lights la river dragnet coming la river dragnet coming every corner great old nation good kids succumb depths temptation homecoming queens get lost cracks quarter back heroes get strung smack la river dragnet coming la river dragnet coming wake one day monkey back foil windows hiding tracks sheriffs shotgun make sound pointed corpse shot la river dragnet coming la river dragnet coming ,rock
empire falls,primordial,cold wind blowing graves blowing bares poisoned tongue foul breath deceit fathers son deeds cannot undone undone trade blood writing history sacrifices dead fighting man he would trade every truth hollow victories every empire fall every monument crumble forgotten men watch centuries whose silent words rise betrayal rise betrayal fighting man he would trade every truth hollow victories every empire falls earth ashes turn lands birth shall tomb lands lands birth soon ruins ruins past sky fall earth ashes turn know shall tomb fighting man would trade every truth hollow victories ,metal
rice dream girl,casiotone for the painfully alone,safeway store saw aisle four swear looked nice buying milk made rice tried think something clever say already walking away attempt get groove offered white castle coupon radio playing seal tried tell feel shopping cart sloshed wheels moment seemed wrong ,rock
levi stubbs tears,billy bragg,money accident bought mobile home least could get enjoyment alone one could say left shelf world kid mumbled world falls apart things stay place levi stubbs tears run face ran away home mothers best coat married even entitled vote husband one blokes sort laughs jokes sort war takes away war left anyway norman whitfield barratt strong make everything right thats wrong holland holland lamont dozier make okay one dark night came home sea put hole body hole hurt see walking door though stitched back together left heart pieces floor world falls apart things stay place takes four tops tape puts back case world falls apart things stay place levi stubbs tears ,folk
martin eden,the twilight singers,black windows its pary time know love stormy weather so lets play suicide crowd wants bleeding eyes head get knees fine wide deep river blackas dark night long far ill know get side whatever stolen ill recognize ill sympathize reckon ive seen all start falling breathe unchain myself tonites night wind rain conversation brings back alive tonite wide deep river black night black windows party time see light recognize ,rock
figure of eight,david mead,noon siesta floating radio may come rescue central park watch kids revive sounds mexico gives spark something breathe beauty everything unseen figure eight goes round leaves alive started good waiting past figure eight figure eight goes around days read magazines times used call book every option sitting front could give look sweet vine take back home make mine figure eight goes round maze broken dreams seems sweet forgotten sound goes around figure eight goes round ,rock
cardiac arrest,madness,papers morning bowler hat head walking bus stop hes longing bed waiting neighbours rush hour queue got get first bus much do hes got hurry got get seat cant miss place got rest feet ten minutes till gets crosswords nearly done hard days nearly much fun mind wanders office telephone desk chair hes happy company theyve treated real fair think seven letters begin end c like big american car misspelt d wish busd get move on drivers taking time know ill late oh dear boss say pull together get state worry theres hurry lovely day could going way take docs advice let enjoy life listen say game play never get rate hes caught jam theres meeting morning luck oh damn hand dives pocket handkerchief pearls sweat collar pulsebeat seems brief eyes fall wristwatch seconds pass real slow gasping hot air chest pain go tried ask help cant seem speak word words whispered frantically seem heard wife kids depend me were sorry told hurry late got certain date thought made clear voiced inner fears left theres nothing do ,reggae
misty mountains,mando diao,la la la aaaa house island theres tale must told mysterious misty mountains behind songs wrote lives old man shadow theyre whistling day night whatever whatever worth whistling ranch wildness theres song must sung blindfolded angel never learned right wrong though know enough english describe troubled mind one thing certain sings tried hard figuring guess im human ive watching drawing analysing every way could possible think really help got sit back enjoy know ochrasy raised betrayed sits alone soul legend epic melodies us crying us bleed yes us crying us bleed ,rock
all alone,brainstorm,heavens place even hell burned good things walked earth crossed line find place go place dwell run hide im warning fears see blood drop eyes still return take back tears would anything hear scream make fall dreams despair part life im cryin alone thought id left behind feel like hope dead gone looking back ill start new cast shadow read lines save cruel tale tell im road nowhere know whats true ,metal
waiting for the morning train,element of crime,waiting morning train night dying sun come soon come moment last long look summers last full moon waiting morning train warm winds blowing sky red blue hold breath moment last long look summers last full moon waiting morning train rails singing train coming soon hold hand moment last long look summers last full moon ,rock
dustbowl,horse feathers,viscious mouthes tastes wicked vowes breaks leaving luck haste leaving luck waste things box goes lays leaving men tonight leaving boys fight leaving luck haste leaving lust waste things box goes stops hell moneymakers lives mistake oh knew loved hate her eyes debate ,rock
sweet child o mine,danni carlos,got smile seems reminds childhood memories everything fresh bright blue sky see face takes away special place stared long id probably break cry sweet child o mine sweet love mine got eyes bluest skies thought rain hate look eyes see ounce pain hair reminds warm safe place child id hide pray thunder rain quietly pass ohh sweet child o mine oh oh oh sweet love mine go go go sweet child o mine ,rock
free love,sandra,hiding love hiding love understand coming understand coming suffered enough suffered enough understand thinking see pain frightened im bring free love lets make clear free love hidden catch strings attached free love hidden catch strings attached free love ive running like ive running like understand running scared understand running scared im bring free love lets make clear free love hidden catch strings attached free love hidden catch strings attached free love hey got take moment let slip away let go complicated feelings theres price pay im bring free love lets make clear free love hidden catch strings attached free love hidden catch strings attached free love were bring love lets make clear free love hidden catch strings attached free love hidden catch strings attached free love ,pop
the fallen,set your goals,get here slowing down weve hit black ice lost control were spinning faster now tell flying falling ground tomorrow come die nothing recounting past events helped reveal give damn days would live words wrote person were; hate person become inspired expired died nothing stop feeling love places come from person become jaded liar unforgivable stop feeling love every word sung may never lose youth do may forgettable said started home like way kinds things run said understand work takes make us grow you weve payed dues without you one sees deceit festering hypocrisy ever talk like think know ive through nothing like you stop feeling love places come from person become jaded liar unforgivable stop feeling love every word sung may never lose youth do may forgettable fallen last time us lawless purely dishonest scandal funded you make mistake you no never knew buy sell you no never knew buy sell you cant stop feeling love place came from never lose youth unforgettable stop feeling love stop feeling love stop feeling love stop feeling love stop feeling love stop feeling love stop feeling stop feeling love places come from person become jaded liar unforgivable stop feeling love every word sung may never lose youth do may forgettable ,punk
prayers,in this moment,breathing breathing head leaned back hands tied im standing alone scream questions days slip nights taste memories pump veins injecting one last kiss screaming medication cant save suffocation takes hold wanted believe wanted believe am leads roads take hand show way never bring back determination pushing perseverance bleed wanted believe wanted believe am leads roads take hand show way never bring back unanswered prayers time come say goodbye someone hear me calling god please hear me calling am leads roads take hand show way never bring back unanswered prayers time come say goodbye someone hear me calling god please hear me calling ,metal
the hobos last ride,hank snow,one dark stormy night riding line; railroad bill engineer said boy well fly weve got time meet old number four sling coal well make it boy never ride more rear boxcar lonely hobo lay heading mother dear deathbed lay; raised weary hand brush away tear knowing last drive run fate drawing near darkened night headlight bright gleam oer roar rolling wheels whistle load scream; around curve mighty train roar black smoke rolling stack came flyer number four came awful crash last long drive run track hobo lay days life done; golden sun sank slowly west dear old mother gently smiled closed eyes death ,country
ive got my love to keep me warm,django reinhardt,somewhere theres music faint tune somewhere theres heaven high moon moon love far away till comes true love love somewhere theres music near far somewhere theres heaven darkest night would shine would come soon will still heart high moon somewhere theres music faint tune somewhere theres heaven high moon darkest night would shine would come soon will still heart high moon ,jazz
tempo senza tempo,alice,e come potrei tra due eternita prendermela col tempo che scorre via e non lascera il transito la scia come il vapore caldo si dissolvera ora piu che mai giorni sempre uguali non li conto non li sento ritrovo le mie radici la mia identita il tempo senza tempo tra il sogno e la realta e cammina lento il corso della vita il messaggio e nel silenzio nella sobrieta dal vuoto risale la dignita che ha senso questangolo di terra ritrovo il comportamento che nella liberta il tempo senza tempo tra il sogno e la realta la realta la realta ,rock
no reply,catherine feeny,wait train sure arrive today seems make station twice week ticket seller said feet long child knees begin ache time locomotive pulls away swear im gonna leave place stay see lord aint way quite time recall correct used ride warren county line call get reply wait something long mind begins roam think something long devil makes thoughts home young child strong might think time wait im telling wrong get bus child go foot yeah wait here cause lord aint way quite recall correct used walk warren county mile call get reply ,folk
dont go down to reno,tony christie,reno town dollars buy separation say goodbye love life shared together sign away stroke hotel pen dreams gone forever cant believe were give you stand aside watch good love die go reno stay another night one night may find ill make change mind go reno stay little bit longer try remember day bells chimin picture clothes wore know smile think nights knew star climbin cant throw away ive got make stay stand aside ,pop
ghost,mnemic,made hate socialize matter suits fine breathe punched teeth in tried explain just see i see right you things mainly bad things satisfy neurotic needs got feeling im dreaming make sure im awake punish me come follow place see happened you need see true confide me blind now see right do though see know still try explain you presence affecting state mind oh suck in inside want to taste drags down dismal past want make last want this true say ignorance bliss ill find another way mind good things thats abnormal theyll take put away listen tell im insane i see right ,metal
last christmas ,ashley tisdale,last christmas gave heart next day gave away year save tears ill give someone special last christmas gave heart next day gave away year save tears ill give someone ill give someone special bitten twice shy keep distance still catch eye tell baby recognize me well year surprise happy christmas wrapped sent note saying i love you meant know fool ive kissed now know fool last christmas gave heart next day gave away year save tears ill give someone special last christmas gave heart next day gave away year save tears ill give someone special special yea yea crowded room friends tired eyes im hiding you soul ice thought someone rely me guess shoulder cry friend discover fire heart man cover tore apart ive found real love never fool last christmas gave heart next day gave away year save tears ill give someone special last christmas gave heart next day gave away year save tears ill give someone special last christmas gave heart next day gave away year save tears ill give someone special ill give someone special ,pop
human guinea pig,suicidal tendencies, lying back wheeled blinding light shackled restraints resist attempted fight scalpels hovers me incision made theyre watching me new sensation frustration said science im human guinea pig guinea pig guinea pig guinea pig guinea pig guinea pig sleep altered open eyes nightmare continues see lies papers keep turning tests never ends theyre watching me new sensation frustration said science feel like human guinea pig time may passed on soon forget old sensation pure frustration human guinea guinea pig ,metal
truck drivin man,lynyrd skynyrd, well hes truckin memphis cruisin new orleans tonight sleeps alone cajun queen well theres smoke stacks ablowin care hes goin time feels right hes rollin hes got roadmaps hand lord drivin hard trying dodge scales man well im talkin truck drivin man yea hell always give ya best can white cups coffee lord yea needs hes right truck drivin man truck truck driver shift gears hes got ladies north dakota keys man minnesota loves every one least thats hes told em lord flannel shirts blue jeans truck stops routine tonight sleeps alone cajun queen well im talkin truck drivin man yea hell always give ya best can white cups coffee lord yea needs hes right truck drivin man guitar truck driver well hes truckin memphis cruisin new orleans tonight sleeps alone cajun queen well theres smoke stacks ablowin care hes goin time feels right hes rollin well im talkin truck drivin man yea hell always give ya best can white cups coffee lord yea needs hes right truck drivin man said hes right truck drivin man said hes right truck drivin man play guitar truck driver ,rock
heart to hang onto,pete townshend,johnny boy hes always propping bar hes sees life crystallized jar says lives beer deep heart cry fear give heart hang onto give soul thats tailored new give heart hang onto heart hang onto sally seems get bigger everyday evens contented way finger pulse every guy deep night hear cry give heart hang onto give life thats tailored new give heart hang onto oh please heart hang onto give heart hang onto give soul thats tailored new give heart hang onto danny wants save new guitar hes going learn play get far thinks easy going high whole life another try give heart hang onto give suit thats tailored true give heart hang onto heart hang onto need heart hang onto ,rock
faites du bruit,svinkels,cest les svink svink svink nouveau track track track pour bouger sur chit voila la conduite adequate veut qutu check check check avec ton pote veut qutu bouge bouge bouge bouge ta tete remue tes pieds pieds pieds pieds de droite a gauche echauffementon va ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit maintenant faites du bruit ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit ca fait pschiiit les oignons ca fait crrrr lhuile dolive lail et les champignons si tas pas compris ski se passe cest juste baste qui est entrain de faire la sauce des pates ca fait poum poum poum poum les voisins qui frappent parce que ca fait poum bak quand ecoute du rap ca fait woho woho quand cest trop ldelbor ca fait eho eho pas plus haut que le bord la jdit stop alerte a la bombe cest le svink ca fait quand les rappeurs mpompent bitch point des les stades de foot ca fait fouit fouit ca cest juste une tache de hein ca fait miaou miaou ca fait wouaf wouaf wouaf ca fait hummmm quand jai soif soif ca fait hi hi hi entre la camionnette et le marqueur et quand jrap tout le monde ferme ca gueule ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit maintenant faites du bruit ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit ca fait poum poum tchack quand jallume le mac quand jarrose la weed ca fait tchist tchist tchist tchist ca fait tchin tchin trop de toxine faut que jelimine ca fait quand jte balance mon coup droit hum douleur courbature pschiiiit daspirine entre deux bitures ca te rend han han quand tecoute zic qui rend oh oh completement autiste ca fait prout prout dans les soirees parisiennes ca fait oust cherie cest table la tienne ca fait double clic clic sur le peer2peer vu quon pirate les svink svink les autres groupes jlai pillent ca fait generation ouioui quand jdis pon et toxicomanie oh non gobe 2 3 gelulles ca fait fouiti fouiti fouiti pon et ces cellules yen marre faut que tout le monde le sache ca fait un putain de couak quand debarquent quand jtraverse la salle jolie fille jveux juste que tu sache ca chie dans le carre vip quest que jpeu faire chier si mes encules sont tous ici faites du bruit tirez au fusil allez mange des cones remue tous la tete ca fait 2 3 4 quand tu prends two step prends two step efficace pour bouger ce morceau cest juste pour xannax et baste clap quand je check mes potes et ca fait crick crick crick quand jtravaille la dope ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait gloup gloup gloup quand jvide teille flap flap flap quand jlache loseille ca fait hummm clap dans la discotheque ca fait chkling chkling dans ltiroir caisse ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit maintenant faites du bruit ca fait ohhh ohhh ca fait ohhh ohhh ca fait si tas pas crompris maintenant faites du bruit faite du bruit ce soir faut quon clash meilleure ,rap
lovely little frankenstein,snfu,wonder mon dad would say want bring shame know one day ill tell oh yes ill tell it lovely little frankenstein love like hard find lovely little frankenstein love like blind lives darkened hill big city life would bring death close personal friend mine lovely little frankenstein listens quietly talk hand hand nightly walk get lost eyes stares mine lovely little frankenstein ,punk
rest easy,natalie walker,heart beat harmony light every day heart beat harmony light every way weak knees run away cannot breathe afraid feeling eyes rest easy rest easy lovely imperfect looked soul read words lovely imperfect looked soul read words ,electronic
